# z D Omega_21 Omega_22
3.161339343579050620e+01 3.930467844315060216e-02 -1.504926528331791413e+00 5.049265664172349899e-01
3.268285653340582542e+01 3.806451320479936618e-02 -1.505087486026640553e+00 5.050875309348902276e-01
3.378738961904348059e+01 3.686435360599412542e-02 -1.505253863159353944e+00 5.052539077946167634e-01
3.492814271280479943e+01 3.570199399678274099e-02 -1.505425818845647745e+00 5.054258665128918970e-01
3.610630354641601514e+01 3.457633418142311288e-02 -1.505603532064845096e+00 5.056035841120507524e-01
3.732309879987328571e+01 3.348690774147738969e-02 -1.505787191566057448e+00 5.057872444100089959e-01
3.857979537863999298e+01 3.243160009491968115e-02 -1.505976980868321657e+00 5.059770375351281269e-01
3.987770173272604524e+01 3.141006666686629867e-02 -1.506173102225470295e+00 5.061731611623591087e-01
4.121816921902264852e+01 3.042097251479367742e-02 -1.506375758502425555e+00 5.063758199284275063e-01
4.260259350831093883e+01 2.946286226398345601e-02 -1.506585161361226666e+00 5.065852261172639759e-01
4.403241603840946539e+01 2.853582641002940304e-02 -1.506801532102371999e+00 5.068015991643086693e-01
4.550912551497336977e+01 2.763782843971038586e-02 -1.507025097183588791e+00 5.070251670512381237e-01
4.703425946150829162e+01 2.676834067584782373e-02 -1.507256092863572539e+00 5.072561653414765503e-01
4.860940582021217438e+01 2.592668977258831206e-02 -1.507494762014129686e+00 5.074948377893525597e-01
5.023620460531239473e+01 2.511140132914152501e-02 -1.507741359796742175e+00 5.077414375674789149e-01
5.191634961061921416e+01 2.432234721964364466e-02 -1.507996143823058244e+00 5.079962252706509140e-01
5.365159017307362177e+01 2.355821334952609702e-02 -1.508259387402015594e+00 5.082594719953541507e-01
5.544373299412567491e+01 2.281814355602219610e-02 -1.508531371970629031e+00 5.085314578881717784e-01
5.729464402083976893e+01 2.210195977099971634e-02 -1.508812380263959696e+00 5.088124714107598034e-01
5.920625038868533352e+01 2.140820600684319869e-02 -1.509102720597550684e+00 5.091028136619543121e-01
6.118054242803582810e+01 2.073659815549629484e-02 -1.509402697235309843e+00 5.094027936922835842e-01
6.321957573646517403e+01 2.008637558561366526e-02 -1.509712631142194228e+00 5.097127322527579274e-01
6.532547331899918674e+01 1.945652171611574749e-02 -1.510032861591879882e+00 5.100329622532666640e-01
6.750042779855040465e+01 1.884704368904899230e-02 -1.510363716651361710e+00 5.103638245244221938e-01
6.974670369883794763e+01 1.825670915737947347e-02 -1.510705565382912008e+00 5.107056762128568961e-01
7.206663980216907817e+01 1.768506740110007899e-02 -1.511058771757088026e+00 5.110588839999706812e-01
7.446265158453748256e+01 1.713177648366222966e-02 -1.511423706637684328e+00 5.114238263398455109e-01
7.693723373057378012e+01 1.659581572592821325e-02 -1.511800778862368411e+00 5.118008985154259838e-01
7.949296273096653920e+01 1.607705584608993404e-02 -1.512190378317060047e+00 5.121905044074783753e-01
8.213249956505826788e+01 1.557472469901863797e-02 -1.512592934357029018e+00 5.125930657226938081e-01
8.485859247140950856e+01 1.508817003577005850e-02 -1.513008889922418332e+00 5.130090184910115481e-01
8.767407980921586841e+01 1.461736162237465241e-02 -1.513438667867801790e+00 5.134388084138528097e-01
9.058189301355663758e+01 1.416129803365552206e-02 -1.513882763149237753e+00 5.138829052178961465e-01
9.358505964755272544e+01 1.371975365300750864e-02 -1.514341642319684933e+00 5.143417879445103535e-01
9.668670655461122010e+01 1.329230759792859526e-02 -1.514815798819349579e+00 5.148159537640240035e-01
9.989006311403883842e+01 1.287825124188415882e-02 -1.515305770460582790e+00 5.153059211473569601e-01
1.031984646034139246e+02 1.247755385241145105e-02 -1.515812053757095379e+00 5.158122173424175561e-01
1.066153556712178414e+02 1.208947749446368132e-02 -1.516335229731796685e+00 5.163353980551317335e-01
1.101442939233413369e+02 1.171365551281114067e-02 -1.516875867511516374e+00 5.168760333295767673e-01
1.137889536272003141e+02 1.134993152371296249e-02 -1.517434526724307675e+00 5.174347084065867852e-01
1.175531295373172043e+02 1.099759970851216587e-02 -1.518011860978754513e+00 5.180120402658843215e-01
1.214407408463516589e+02 1.065654443139318550e-02 -1.518608466565037673e+00 5.186086549120821898e-01
